Site_name,Neotoma_ID,EW,EW,E6,E6,E5,E5,E4,E4,E3,E3,E2,E2,E1,E1,LS,LS
AMERSFOORT BOR. I,53338,12.85,9.22,13.2,12.85,24.65,13.2,27.15,24.65,27.4,27.15,28.85,27.4,,,,
AMERSFOORT BOR. IB,53341,12.25,12.13,12.63,12.43,,,,,,,,,,,,
AMERSFOORT BOR. II,53340,9.96,9.07,,,,,,,,,,,,,,
AMERSFOORT TUNNELPUT 1E ONTSLUITING DIV. MONSTERS,53306,9.2,4.98,10,9.2,10.6,10,,,,,,,,,,
Amersfoort-3/ AMERSFOORT BOR. A3 NIEUWE BOR. VOOR INTERSTADIALEN,53336,,,6.92,6.11,7.18,6.93,8.67,7.19,8.92,8.68,9,8.93,,,9.05,10
Amsterdam terminal 821,49883,,,32.3,25,50,32.3,61.4,50,62.65,61.39,63.25,62.55,63.5,63.25,,
BERGEN BOR. 19A/179,54299,,,70,35,,,,,,,,,,,105,70
Bispingen,40169,,,21.55,19.1,23.95,21.65,25.96,24.05,26.35,26.01,26.6,26.4,26.63,26.66,,
Borculo,54891,,,13.7,10.6,,,13.95,13.7,,,,,,,,
Creil,50135,,,,,,,18.2,14.6,21.2,18.6,21.4,22.5,,,,
De Hon-B02D0037,56806,,,,,22.9,18.53,25.9,23.3,,,,,,,,
DIEPENVEEN EXERCITIEVELD 27G/118 (W.268),49881,,,,,,,17.35,14.7,19.25,17.35,19.95,19.25,20.15,19.95,23.3,20.15
Diepenveen Vrieswijk,49881,8.2,9.69,10.8,9.68,13.37,10.8,13.74,13.37,,,14.3,13.74,,,,
EEMSHAVEN 3H/34,56807,,,,,,,,,,,,,,,,
Groot_Wetsinge_B07A0111,56811,21.48,18.4,,,,,30.02,21.48,,,,,,,,
Halsteren,57085,,,,,50,32.7,61.48,50,62.7,61.48,63.3,62.7,63.5,63.3,67,63.5
HOLLUM 1H/189,50169,,,,,26.5,26.24,30.15,27,30.28,30.17,,,30.34,30.4,,
Ijsselmeer 15G/212,49947,,,,,16.8,14.67,22.47,17.35,22.3,22,,,,,,
Ijsselmeer 15G/213,49949,,,,,,,21.31,20.43,21.63,21.5,21.94,21.62,,,,
Ijsselmeer 15G/214,49955,,,,,,,18.76,17.13,20.4,18.96,21.93,20.59,,,,
LUNTEREN BOR. IV (AMERSFOORT),53344,15.4,14.7,,,,,,,,,,,,,,
Moershoofd,52046,9.48,4.7,9.72,9.48,17.1,9.72,,,,,,,,,,
NOORDZEE FUGRO B1156-P5B P5-4,56505,,6,9,6,,,11.7,9,12,11.7,,,,,,
NOORDZEE FUGRO B1855 B1 F17-4,56775,,,16.15,9.2,,,21.85,21.6,,,,,,,34.45,30.6
NOORDZEE FUGRO B3469-B2 L7-4,56774,,,,,,,,,,,,,,,,
NOORDZEE FUGRO B3991 K17-4,56775,,,17,16,,,,,,,,,,,,
Rutten Gemaalweg,49638,8,7.25,11.8,9.47,14.57,12.3,18.8,18.23,18.4,18.23,18.58,18.8,18.8,18.08,20.98,19.04
Rutten polser 1675,49888,,,,,,,16.9,15.75,18.1,17.2,19.85,18.2,,,,
WADDENZEE MOLENRAK 5,56804,13.2,9.9,17.6,15,,,,,,,,,,,,
Zuurland,52041,,,,,,,,,,,,,,,,
